"","edgeid","author","mentioned","degree_author","weight","vertexid","x","y","order"
"250",125,"@b_riexinger","@sven_giegold",39,4,40,0.669130606358858,-0.743144825477395,"2"
"251",126,"@b_riexinger","@SWagenknecht",39,17,4,0.913545457642601,0.4067366430758,"1"
"252",126,"@b_riexinger","@SWagenknecht",39,17,41,0.766044443118978,-0.64278760968654,"2"
"253",127,"@b_riexinger","@ThomasOppermann",39,82,4,0.913545457642601,0.4067366430758,"1"
"254",127,"@b_riexinger","@ThomasOppermann",39,82,42,0.848048096156426,-0.529919264233205,"2"
"255",128,"@b_riexinger","@tsghessen",39,606,4,0.913545457642601,0.4067366430758,"1"
"256",128,"@b_riexinger","@tsghessen",39,606,43,0.913545457642601,-0.4067366430758,"2"
"257",129,"@b_riexinger","@Volker_Beck",39,284,4,0.913545457642601,0.4067366430758,"1"
"258",129,"@b_riexinger","@Volker_Beck",39,284,44,0.961261695938319,-0.275637355816999,"2"
"259",130,"@BaerbelHoehn","@bodoramelow",31,15,5,0.848048096156426,0.529919264233205,"1"
"260",130,"@BaerbelHoehn","@bodoramelow",31,15,6,0.766044443118978,0.642787609686539,"2"
"261",131,"@BaerbelHoehn","@bueti",31,74,5,0.848048096156426,0.529919264233205,"1"
"262",131,"@BaerbelHoehn","@bueti",31,74,7,0.669130606358858,0.743144825477394,"2"
"263",132,"@BaerbelHoehn","@c_lindner",31,25,5,0.848048096156426,0.529919264233205,"1"
"264",132,"@BaerbelHoehn","@c_lindner",31,25,8,0.559192903470747,0.829037572555042,"2"
"265",133,"@BaerbelHoehn","@CarenLay",31,11,5,0.848048096156426,0.529919264233205,"1"
"266",133,"@BaerbelHoehn","@CarenLay",31,11,9,0.438371146789077,0.898794046299167,"2"
"267",134,"@BaerbelHoehn","@cem_oezdemir",31,34,5,0.848048096156426,0.529919264233205,"1"
"268",134,"@BaerbelHoehn","@cem_oezdemir",31,34,10,0.309016994374947,0.951056516295154,"2"
"269",135,"@BaerbelHoehn","@FlorianPronold",31,1,5,0.848048096156426,0.529919264233205,"1"
"270",135,"@BaerbelHoehn","@FlorianPronold",31,1,12,0.0348994967025011,0.999390827019096,"2"
"271",136,"@BaerbelHoehn","@GoeringEckardt",31,108,5,0.848048096156426,0.529919264233205,"1"
"272",136,"@BaerbelHoehn","@GoeringEckardt",31,108,13,-0.104528463267654,0.994521895368273,"2"
"273",137,"@BaerbelHoehn","@Halina_Waw",31,11,5,0.848048096156426,0.529919264233205,"1"
"274",137,"@BaerbelHoehn","@Halina_Waw",31,11,15,-0.374606593415912,0.927183854566787,"2"
"275",138,"@BaerbelHoehn","@hubertus_heil",31,24,5,0.848048096156426,0.529919264233205,"1"
"276",138,"@BaerbelHoehn","@hubertus_heil",31,24,17,-0.615661475325658,0.788010753606722,"2"
"277",139,"@BaerbelHoehn","@JTrittin",31,27,5,0.848048096156426,0.529919264233205,"1"
"278",139,"@BaerbelHoehn","@JTrittin",31,27,18,-0.719339800338651,0.694658370458997,"2"
"279",140,"@BaerbelHoehn","@juergenhardt",31,5,5,0.848048096156426,0.529919264233205,"1"
"280",140,"@BaerbelHoehn","@juergenhardt",31,5,19,-0.809016994374947,0.587785252292473,"2"
"281",141,"@BaerbelHoehn","@JuliaKloeckner",31,16,5,0.848048096156426,0.529919264233205,"1"
"282",141,"@BaerbelHoehn","@JuliaKloeckner",31,16,20,-0.882947592858927,0.469471562785891,"2"
"283",142,"@BaerbelHoehn","@katjakipping",31,1,5,0.848048096156426,0.529919264233205,"1"
"284",142,"@BaerbelHoehn","@katjakipping",31,1,21,-0.939692620785908,0.342020143325669,"2"
